"taxon.name","class"
"Passiflora cuneata","Magnoliopsida"
"Passiflora alnifolia","Magnoliopsida"
"Solanum deflexiflorum",NA
"Burmeistera carnosa",NA
"Peperomia albert-smithii",NA
"Decantha stecia","Insecta"
"Acrobasis juglandis","Insecta"
"Lycoperdon utriforme","Agaricomycetes"
"Vachellia macracantha","Magnoliopsida"
"Phlogophora iris","Insecta"
"Campephaga phoenicea","Aves"
"Argyrostrotis anilis","Insecta"
"Arta olivalis","Insecta"
"Acrolophus plumifrontella","Insecta"
"Hirtella racemosa","Magnoliopsida"
"Eudonia strigalis","Insecta"
"Chiropotes chiropotes","Mammalia"
"Saguinus midas","Mammalia"
"Ateles paniscus","Mammalia"
"Eremophilus mutisii",NA
"Tillandsia brachycaulos","Liliopsida"
"Zopherus chilensis","Insecta"
"Hypanartia lindigii",NA
"Grallaria gigantea",NA
"Odontophorus melanonotus","Aves"
"Atlapetes leucopterus","Aves"
"Mionectes striaticollis","Aves"
"Grallaria flavotincta","Aves"
"Lurocalis rufiventris","Aves"
"Oxystelma esculentum","Magnoliopsida"
"Phyllonorycter clemensella","Insecta"
"Botrychium matricariifolium","Polypodiopsida"
"Cantharis rufa","Insecta"
"Engystomops pustulosus","Amphibia"
"Pleurodema brachyops","Amphibia"
"Fimbristylis caroliniana","Liliopsida"
"Dermatocarpon luridum","Eurotiomycetes"
"Orthotrichum sordidum","Bryopsida"
"Sphex jamaicensis","Insecta"
"Pionus senilis","Aves"
"Colpophyllia natans","Anthozoa"
"Cottus bairdii","Actinopterygii"
"Polistes carolina","Insecta"
"Hetaerina majuscula","Insecta"
"Anthanassa crithona","Insecta"
"Greta annette","Insecta"
"Eretris suzannae",NA
"Carludovica palmata","Liliopsida"
"Coptodisca kalmiella",NA
"Anolis maculiventris","Reptilia"
"Enyalioides altotambo",NA
"Trachyboa boulengeri","Reptilia"
"Meracantha contracta","Insecta"
"Stratiomys obesa",NA
"Enyalioides oshaughnessyi","Reptilia"
"Scolopendra angulata","Chilopoda"
"Chalcolepidius virens","Insecta"
"Corallus blombergi",NA
"Pliocercus euryzonus","Reptilia"
"Mastigodryas boddaerti","Reptilia"
"Lepidoblepharis buchwaldi",NA
"Lachesis acrochorda","Reptilia"
"Protichneumon grandis","Insecta"
"Semnia auritalis","Insecta"
"Renia turpis",NA
"Quercus laevis","Magnoliopsida"
"Stagmomantis parvidentata","Insecta"
"Rhodochlora brunneipalpis","Insecta"
"Cordia alba","Magnoliopsida"
"Catocala vidua","Insecta"
"Cyclocephala prolongata",NA
"Cicindela ocellata","Insecta"
"Synchlora expulsata","Insecta"
"Euprosterna elaea",NA
"Lobocleta subcincta","Insecta"
"Senna bicapsularis","Magnoliopsida"
"Microrhopala vittata","Insecta"
"Thyroptera tricolor","Mammalia"
"Metria bruma",NA
"Libellula needhami","Insecta"
"Cereus hexagonus","Magnoliopsida"
"Adelpha cytherea","Insecta"
"Uracis fastigiata","Insecta"
"Biolleyana costalis","Insecta"
"Eulithis gracilineata","Insecta"
"Cyrtochilum serratum","Liliopsida"
"Trillium underwoodii","Liliopsida"
"Heliconia curtispatha","Liliopsida"
"Otoba gordoniifolia","Magnoliopsida"
"Nonea vesicaria","Magnoliopsida"
"Myriocarpa longipes","Magnoliopsida"
"Thamnodynastes gambotensis","Reptilia"
"Hypoxis curtissii","Liliopsida"
"Solanum donianum","Magnoliopsida"
"Oxalis florida","Magnoliopsida"
"Viburnum rafinesquianum","Magnoliopsida"
"Pseudoboa neuwiedii","Reptilia"
"Amphilophium paniculatum","Magnoliopsida"
"Agamia agami","Aves"
"Acraephia perspicillata","Insecta"
"Solidago patula","Magnoliopsida"
"Pterostichus tristis",NA
"Hesperia leonardus","Insecta"
"Amaranthus australis","Magnoliopsida"
"Epicauta funebris","Insecta"
"Senna corymbosa","Magnoliopsida"
"Nyssa biflora","Magnoliopsida"
"Pelidnota prasina","Insecta"
"Rasahus albomaculatus",NA
"Craugastor longirostris","Amphibia"
"Cactophagus circumjectus",NA
"Oophaga sylvatica","Amphibia"
"Echoma bonfilsii",NA
"Leptodactylus ventrimaculatus","Amphibia"
"Anolis parvauritus",NA
"Anolis lyra","Reptilia"
"Schaeferocoris ecuadorensis",NA
"Pristimantis ornatissimus","Amphibia"
"Echinosaura horrida",NA
"Pristimantis esmeraldas","Amphibia"
"Bothrops punctatus","Reptilia"
"Tityus asthenes","Arachnida"
"Hibiscus furcellatus","Magnoliopsida"
"Polygonus leo","Insecta"
"Celtis tenuifolia","Magnoliopsida"
"Bassariscus sumichrasti","Mammalia"
"Eucometis penicillata","Aves"
"Anthracothorax dominicus","Aves"
"Impatiens sodenii","Magnoliopsida"
"Piriqueta cistoides","Magnoliopsida"
"Hyla gratiosa","Amphibia"
"Campethera punctuligera","Aves"
"Hypergerus atriceps","Aves"
"Alcimosphenus licinus","Arachnida"
"Magallana angulata",NA
"Davus ruficeps","Arachnida"
"Phrygionis auriferaria",NA
"Damon medius","Arachnida"
"Pyroderces argyrogrammos",NA
"Squalius alburnoides","Actinopterygii"
"Quentalia surynorta","Insecta"
"Naria spurca","Gastropoda"
"Coiffaitarctia steniptera","Insecta"
"Epimartyria auricrinella",NA
"Nycteola metaspilella","Insecta"
"Hybroma servulella","Insecta"
"Glyptocera consobrinella","Insecta"
"Eupsilia vinulenta","Insecta"
"Pelochrista matutina","Insecta"
"Pelochrista heathiana",NA
"Morrisonia latex","Insecta"
"Moodna ostrinella","Insecta"
"Neoheterandria tridentiger",NA
"Metalectra quadrisignata","Insecta"
"Macrochilo orciferalis","Insecta"
"Leucania ursula","Insecta"
"Leucania inermis","Insecta"
"Lacunicambarus acanthura","Malacostraca"
"Catocala habilis","Insecta"
"Catocala micronympha","Insecta"
"Pleurodeles waltl","Amphibia"
"Eupatorium rotundifolium","Magnoliopsida"
"Thamnophilus bridgesi","Aves"
"Lobelia nuttallii","Magnoliopsida"
"Thasopsis formidabilis",NA
"Eumops floridanus","Mammalia"
"Sostrata bifasciata","Insecta"
"Mesosemia mevania","Insecta"
"Bartramia pomiformis","Bryopsida"
"Castilleja coccinea","Magnoliopsida"
"Coreopsis pulchra","Magnoliopsida"
"Porodisculus pendulus","Agaricomycetes"
"Eutypella scoparia","Sordariomycetes"
"Phileurus valgus","Insecta"
"Percina maculata","Actinopterygii"
"Byssocorticium atrovirens","Agaricomycetes"
"Lecanora chlarotera","Lecanoromycetes"
"Plekocheilus succinoides","Gastropoda"
"Boehmeria caudata","Magnoliopsida"
"Smallanthus pyramidalis","Magnoliopsida"
"Procambarus lewisi",NA
"Anticlea multiferata","Insecta"
"Urbanus viterboana","Insecta"
"Arremon brunneinucha","Aves"
"Cuphea ciliata","Magnoliopsida"
"Talima aurora",NA
"Sphagnum squarrosum","Sphagnopsida"
"Helenium pinnatifidum","Magnoliopsida"
"Crotalaria incana","Magnoliopsida"
"Leptoglossus macrophyllus","Insecta"
"Glenurus gratus","Insecta"
"Passiflora cupraea","Magnoliopsida"
"Galianthe bogotensis","Magnoliopsida"
"Tangara inornata","Aves"
"Ponthieva diptera",NA
"Quercus ellipsoidalis","Magnoliopsida"
"Notropis dorsalis","Actinopterygii"
"Grammopoecilus angustatus","Insecta"
"Chaetolepis microphylla","Magnoliopsida"
"Osmorhiza longistylis","Magnoliopsida"
"Alsophis rufiventris","Reptilia"
"Mozena lutea",NA
"Agalychnis moreletii","Amphibia"
"Madura perfida",NA
"Hentzia antillana",NA
"Junco vulcani","Aves"
"Zentrygon costaricensis","Aves"
"Odontophorus guttatus","Aves"
"Selenicereus grandiflorus","Magnoliopsida"
"Cimolus vitticeps",NA
"Conocephalus nemoralis","Insecta"
"Anthanassa acesas",NA
"Mimardaris aerata",NA
"Heliconius doris","Insecta"
"Eretris porphyria","Insecta"
"Eunica anna","Insecta"
"Callicore astarte","Insecta"
"Chironius fuscus","Reptilia"
"Marpesia furcula","Insecta"
"Fountainea centaurus","Insecta"
"Aspicela scutata","Insecta"
"Hypanartia kefersteini","Insecta"
"Marpesia corinna","Insecta"
"Anolis ventrimaculatus","Reptilia"
"Chariesterus moestus",NA
"Chariesterus cuspidatus",NA
"Leucothyreus nolleti","Insecta"
"Chariesterus albiventris",NA
"Carcinophora americana","Insecta"
"Pristimantis cruentus","Amphibia"
"Mesoscia terminata","Insecta"
"Sphacelodes quadrilineata","Insecta"
"Evolvulus grisebachii","Magnoliopsida"
"Syntomeida ipomoeae","Insecta"
"Polygala smallii","Magnoliopsida"
"Hemitrochus varians","Gastropoda"
"Bumelia americana",NA
"Ipomoea tenuissima","Magnoliopsida"
"Scarus vetula","Actinopterygii"
"Alheita pulla","Insecta"
"Triphora trianthophoros","Liliopsida"
"Malaclemys terrapin","Reptilia"
"Diplodus holbrookii","Actinopterygii"
"Diplodus argenteus","Actinopterygii"
"Steatoda albomaculata","Arachnida"
"Chrysophyllum cainito","Magnoliopsida"
"Hogna carolinensis","Arachnida"
"Icterus mesomelas","Aves"
"Anolis jubar","Reptilia"
"Stigmaphyllon sagraeanum",NA
"Plumeria tuberculata","Magnoliopsida"
"Gecarcinus ruricola","Malacostraca"
"Teruelphasma stridulus",NA
"Athyrium distentifolium","Polypodiopsida"
"Microtus townsendii","Mammalia"
"Betula cordifolia","Magnoliopsida"
"Hygrocybe reidii","Agaricomycetes"
"Hemichroa crocea","Insecta"
"Usnea quasirigida","Lecanoromycetes"
"Elaeagnus commutata","Magnoliopsida"
"Myzinum maculatum","Insecta"
"Egira crucialis","Insecta"
"Liatris ligulistylis","Magnoliopsida"
"Crepis tectorum","Magnoliopsida"
"Formica aserva","Insecta"
"Ranunculus occidentalis","Magnoliopsida"
"Lomatium utriculatum","Magnoliopsida"
"Physocarpus malvaceus","Magnoliopsida"
"Symphyotrichum jessicae",NA
"Viola renifolia","Magnoliopsida"
"Hedysarum boreale","Magnoliopsida"
"Helvella maculata","Pezizomycetes"
"Pogonatum contortum","Bryopsida"
"Tubaria punicea","Agaricomycetes"
"Odonthalia floccosa","Florideophyceae"
"Tresus capax","Bivalvia"
"Entoloma salmoneum","Agaricomycetes"
"Vespula alascensis","Insecta"
"Loscopia velata","Insecta"
"Tortricodes alternella","Insecta"
"Elophila icciusalis","Insecta"
"Hypena bijugalis","Insecta"
"Caloplaca flavescens","Lecanoromycetes"
"Eucosma formosana","Insecta"
"Elophila ekthlipsis","Insecta"
"Phtheochroa vitellinana","Insecta"
"Pelochrista derelicta","Insecta"
"Spilosoma lutea","Insecta"
"Saperda candida","Insecta"
"Melanotus castanipes","Insecta"
"Sparganothis boweri","Insecta"
"Metarranthis refractaria","Insecta"
"Hydrelia inornata","Insecta"
"Plicifusus kroeyeri",NA
"Dendronotus frondosus","Gastropoda"
"Choristoneura conflictana","Insecta"
"Ochrolechia parella","Lecanoromycetes"
"Palmaria palmata","Florideophyceae"
"Orthotrichum affine","Bryopsida"
"Nicrophorus tomentosus","Insecta"
"Salvia officinalis","Magnoliopsida"
"Phidippus purpuratus","Arachnida"
"Ligustrum ovalifolium","Magnoliopsida"
"Conistra vaccinii","Insecta"
"Eurhynchium striatum","Bryopsida"
"Banksiola dossuaria","Insecta"
"Coccobaphes frontifer","Insecta"
"Salicornia europaea","Magnoliopsida"
"Fissidens bryoides","Bryopsida"
"Podagrica fuscicornis","Insecta"
"Timarcha goettingensis","Insecta"
"Sphaeroderma rubidum","Insecta"
"Podagrica fuscipes","Insecta"
"Phyllobrotica quadrimaculata","Insecta"
"Oulema melanopus","Insecta"
"Luperus flavipes","Insecta"
"Lochmaea suturalis","Insecta"
"Lilioceris lilii","Insecta"
"Hispa atra","Insecta"
"Galerucella calmariensis","Insecta"
"Galeruca tanaceti","Insecta"
"Crioceris asparagi","Insecta"
"Crepidodera aurea","Insecta"
"Chrysolina haemoptera","Insecta"
"Cassida vittata","Insecta"
"Cassida vibex","Insecta"
"Cassida murraea","Insecta"
"Phyllonorycter salicicolella","Insecta"
"Pempelia palumbella","Insecta"
"Rubramoena amoena","Gastropoda"
"Omalium excavatum",NA
"Rugilus rufipes","Insecta"
"Poa glauca","Liliopsida"
"Saxifraga hypnoides","Magnoliopsida"
"Tuckermanopsis americana","Lecanoromycetes"
"Diprion similis","Insecta"
"Hexagenia bilineata","Insecta"
"Zaschizonyx montana",NA
"Sphinx chersis","Insecta"
"Abia lonicerae","Insecta"
"Hagenius brevistylus","Insecta"
"Euphrasia stricta","Magnoliopsida"
"Araneus nordmanni","Arachnida"
"Gentiana linearis","Magnoliopsida"
"Williamsonia fletcheri","Insecta"
"Cicindela longilabris","Insecta"
"Cicindela tranquebarica","Insecta"
"Epelis truncataria","Insecta"
"Kalmia polifolia","Magnoliopsida"
"Tortricidia testacea","Insecta"
"Dryocampa rubicunda","Insecta"
"Usnea subgracilis",NA
"Lycaena epixanthe","Insecta"
"Olethreutes bipartitana","Insecta"
"Epinotia transmissana","Insecta"
"Adoxophyes negundana","Insecta"
"Macaria oweni","Insecta"
"Pima albiplagiatella","Insecta"
"Aspidophoroides monopterygius","Actinopterygii"
"Pelochrista argentialbana","Insecta"
"Pandalus montagui",NA
"Zirfaea crispata","Bivalvia"
"Globia oblonga","Insecta"
"Eulithis serrataria","Insecta"
"Ophiopholis aculeata","Ophiuroidea"
"Diachrysia aereoides","Insecta"
"Ancylosis undulatella","Insecta"
"Artemisia somai",NA
"Rhynchostegium confertum","Bryopsida"
"Hypoxylon fuscum","Sordariomycetes"
"Geranium nodosum","Magnoliopsida"
"Bombus lapidarius","Insecta"
"Atrophaneura horishana","Insecta"
"Corybas sinii",NA
"Dytiscus dimidiatus","Insecta"
"Microlinyphia pusilla","Arachnida"
"Bombycilla japonica","Aves"
"Thamnobryum alopecurum","Bryopsida"
"Padogobius bonelli","Actinopterygii"
"Calonectris leucomelas","Aves"
"Argiope perforata","Arachnida"
"Argiope ocula","Arachnida"
"Cyclosa omonaga","Arachnida"
"Cyclosa argenteoalba","Arachnida"
"Pseudoprumna baldensis",NA
"Vanellus duvaucelii","Aves"
"Elophila rivulalis",NA
"Batia internella","Insecta"
"Apterogenum ypsillon","Insecta"
"Rhagium mordax","Insecta"
"Axis porcinus","Mammalia"
"Smerinthus ocellata","Insecta"
"Apamea scolopacina",NA
"Hoolock hoolock","Mammalia"
"Hepialus humuli","Insecta"
"Lomographa temerata","Insecta"
"Dinoptera collaris","Insecta"
"Telestes muticellus","Actinopterygii"
"Pimpinella tragium","Magnoliopsida"
"Gentianopsis paludosa","Magnoliopsida"
"Synodus dermatogenys","Actinopterygii"
"Crambe tataria","Magnoliopsida"
"Arothron reticularis","Actinopterygii"
"Gymnosarda unicolor","Actinopterygii"
"Elysia marginata","Gastropoda"
"Hedysarum gmelinii","Magnoliopsida"
"Anemonoides ranunculoides","Magnoliopsida"
"Oxytropis hippolyti",NA
"Harpactes duvaucelii","Aves"
"Arnebia decumbens","Magnoliopsida"
"Blitum virgatum","Magnoliopsida"
"Euonymus verrucosus","Magnoliopsida"
"Leuciscus aspius","Actinopterygii"
"Leuciscus idus","Actinopterygii"
"Euphydryas cynthia","Insecta"
"Maresia pulchella","Magnoliopsida"
"Bolitophagus reticulatus","Insecta"
"Peplomyza litura","Insecta"
"Taphrorychus bicolor","Insecta"
"Pogonocherus ovatus",NA
"Electrophaes corylata","Insecta"
"Odontopera bidentata","Insecta"
"Notodonta ziczac","Insecta"
"Ampedus pomorum","Insecta"
"Boros schneideri","Insecta"
"Salvia nutans","Magnoliopsida"
"Silpha tyrolensis",NA
"Cyclamen purpurascens","Magnoliopsida"
"Cydonia oblonga","Magnoliopsida"
"Metaxmeste schrankiana","Insecta"
"Epibulus insidiator","Actinopterygii"
"Primula halleri","Magnoliopsida"
"Acanthopleura vaillantii","Polyplacophora"
"Jacobaea insubrica","Magnoliopsida"
"Myodes rutilus","Mammalia"
"Coturnix delegorguei","Aves"
"Butastur rufipennis","Aves"
"Coracias abyssinicus","Aves"
"Circaetus beaudouini","Aves"
"Pternistis icterorhynchus","Aves"
"Hieraaetus wahlbergi","Aves"
"Apus melba","Aves"
"Lanius gubernator","Aves"
"Cuculus gularis","Aves"
"Cercopithecus neglectus","Mammalia"
"Agapornis pullarius","Aves"
"Streptopelia vinacea","Aves"
"Burhinus senegalensis","Aves"
"Lupinus pilosus","Magnoliopsida"
"Limnonectes leporinus","Amphibia"
"Colchicum palaestinum","Liliopsida"
"Ixodes trianguliceps",NA
"Cucumis prophetarum","Magnoliopsida"
"Ixodes persulcatus",NA
"Ceratocarpus utriculosus",NA
"Posidonia oceanica","Liliopsida"
"Urva vitticolla","Mammalia"
"Supella longipalpa","Insecta"
"Perisoreus infaustus","Aves"
"Alhagi pseudalhagi","Magnoliopsida"
"Eutropis madaraszi","Reptilia"
"Probergrothius varicornis","Insecta"
"Uperodon rohani",NA
"Ethmia bipunctella","Insecta"
"Micrommata virescens","Arachnida"
"Launaea rhynchocarpa",NA
"Podontia dalmani",NA
"Atriplex farinosa",NA
"Androsace umbellata","Magnoliopsida"
"Pittosporum illicioides","Magnoliopsida"
"Chionea crassipes","Insecta"
"Cardioderma cor","Mammalia"
"Boreus westwoodi",NA
"Mutilla quinquemaculata","Insecta"
"Dieuches syriacus","Insecta"
"Chionea araneoides","Insecta"
"Echinopora lamellosa","Anthozoa"
"Calopteryx xanthostoma","Insecta"
"Amelanchier asiatica",NA
"Scirpus wichurae",NA
"Daphniphyllum teijsmannii","Magnoliopsida"
"Dictyla echii","Insecta"
"Drymocallis rupestris","Magnoliopsida"
"Asplenium cuneifolium",NA
"Bucculatrix bechsteinella",NA
"Otiorhynchus raucus","Insecta"
"Stellaria longifolia","Magnoliopsida"
"Mycalesis patnia","Insecta"
"Idea iasonia","Insecta"
"Plautia crossota","Insecta"
"Rhesala imparata","Insecta"
"Artemisia absinthium","Magnoliopsida"
"Ulmus laevis","Magnoliopsida"
"Rumex confertus","Magnoliopsida"
"Chaerophyllum bulbosum","Magnoliopsida"
"Latridius hirtus","Insecta"
"Treron sieboldii","Aves"
"Phedimus spurius","Magnoliopsida"
"Potentilla micrantha","Magnoliopsida"
"Packera heterophylla",NA
"Artemisia borealis","Magnoliopsida"
"Amata caspia","Insecta"
"Ambulyx moorei","Insecta"
"Erythronium dens-canis","Liliopsida"
"Lethe drypetis","Insecta"
"Dideopsis aegrota","Insecta"
"Asarkina porcina","Insecta"
"Phytomia zonata","Insecta"
"Gladiolus imbricatus","Liliopsida"
"Neohirasea japonica","Insecta"
"Bolbometopon muricatum","Actinopterygii"
"Chromodoris dianae","Gastropoda"
"Ecsenius bimaculatus",NA
"Amblyeleotris yanoi","Actinopterygii"
"Corythoichthys intestinalis","Actinopterygii"
"Arachnocephalus vestitus","Insecta"
"Funambulus tristriatus","Mammalia"
"Choriaster granulatus","Asteroidea"
"Paragus crenulatus","Insecta"
"Chrysotoxum testaceum",NA
"Goniobranchus kuniei","Gastropoda"
"Anaglyptus gibbosus","Insecta"
"Asiraca clavicornis","Insecta"
"Erechtites valerianifolia","Magnoliopsida"
"Biomyoides cyaneus","Insecta"
"Episyrphus viridaureus","Insecta"
"Sepedon lobifera","Insecta"
"Ypthima asterope","Insecta"
"Juniperus macrocarpa","Pinopsida"
"Caranx lugubris","Actinopterygii"
"Monotaxis heterodon","Actinopterygii"
"Plectorhinchus polytaenia","Actinopterygii"
"Cyclodes omma","Insecta"
"Ketambea nigripectoris","Arachnida"
"Cirsium hupehense",NA
"Arctium tomentosum","Magnoliopsida"
"Heteralex unilinea","Insecta"
"Arctosa subamylacea","Arachnida"
"Breynia coronata",NA
"Desmodium scorpiurus","Magnoliopsida"
"Buergeria japonica","Amphibia"
"Austruca perplexa",NA
"Psimada quadripennis","Insecta"
"Luscinia megarhynchos","Aves"
"Alternanthera paronychioides","Magnoliopsida"
"Eremias velox","Reptilia"
"Arctia festiva","Insecta"
"Scarabaeus typhon","Insecta"
"Roemeria hybrida","Magnoliopsida"
"Tragopogon ruber",NA
"Tortrix viridana","Insecta"
"Phragmites vallatoria","Liliopsida"
"Acleris sparsana","Insecta"
"Solanum macaonense","Magnoliopsida"
"Gypsophila paniculata","Magnoliopsida"
"Tragopogon orientalis","Magnoliopsida"
"Avaria hyerana",NA
"Cyperus michelianus","Liliopsida"
"Phtheochroa ingridae",NA
"Ipomoea aquatica","Magnoliopsida"
"Falseuncaria ruficiliana",NA
"Cochylis posterana","Insecta"
"Hypnale zara","Reptilia"
"Cochylis hybridella","Insecta"
"Lycodon carinatus","Reptilia"
"Cochylimorpha langeana",NA
"Cochylimorpha decolorella",NA
"Spermophilus fulvus","Mammalia"
"Rhombomys opimus","Mammalia"
"Hippolais icterina","Aves"
"Acavus superbus","Gastropoda"
"Aethes williana",NA
"Digitaria sanguinalis","Liliopsida"
"Aethes dilucidana",NA
"Eana italica",NA
"Protaetia marmorata","Insecta"
"Cnephasia communana",NA
"Poecilotheria ornata",NA
"Choristoneura hebenstreitella","Insecta"
"Viviparus georgianus","Gastropoda"
"Tanacetum millefolium","Magnoliopsida"
"Andamia tetradactylus","Actinopterygii"
"Atraphaxis frutescens",NA
"Adonis sibirica","Magnoliopsida"
"Bergenia crassifolia","Magnoliopsida"
"Trichogomphus mongol","Insecta"
"Carex strigosa","Liliopsida"
"Viola rupestris","Magnoliopsida"
"Apodemus flavicollis","Mammalia"
"Archon apollinus","Insecta"
"Trichomeloe sericellus",NA
"Gelastocera viridimacula","Insecta"
"Rhododendron macrosepalum","Magnoliopsida"
"Ficus ampelos","Magnoliopsida"
"Ficus formosana","Magnoliopsida"
"Poyntonophrynus lughensis",NA
"Riptortus linearis","Insecta"
"Vicia cassubica","Magnoliopsida"
"Anax speratus",NA
"Apocynum venetum","Magnoliopsida"
"Nepeta nuda","Magnoliopsida"
"Orenaia alpestralis","Insecta"
"Rodneya caudata",NA
"Tringa guttifer","Aves"
"Saussurea tilesii","Magnoliopsida"
"Pedicularis alopecuroides","Magnoliopsida"
"Thymus reverdattoanus","Magnoliopsida"
"Pedicularis amoena",NA
"Ommatotriton vittatus","Amphibia"
"Dianthus repens","Magnoliopsida"
"Parrya nudicaulis","Magnoliopsida"
"Centaurea nervosa","Magnoliopsida"
"Bupleurum stellatum","Magnoliopsida"
"Scincella reevesii","Reptilia"
"Adenostyles alpina",NA
"Plocamopherus ceylonicus","Gastropoda"
"Xylographus bostrichoides",NA
"Salix recurvigemmis",NA
"Salix saxatilis",NA
"Potamon fluviatile","Malacostraca"
"Antheraea pernyi","Insecta"
"Polycera risbeci",NA
"Rostanga bifurcata","Gastropoda"
"Poa alpina","Liliopsida"
"Poa alpigena",NA
"Carex glacialis","Liliopsida"
"Koeleria asiatica","Liliopsida"
"Poa arctica","Liliopsida"
"Arctagrostis latifolia","Liliopsida"
"Carex atrofusca","Liliopsida"
"Rhizophora mucronata","Magnoliopsida"
"Festuca brachyphylla","Liliopsida"
"Carex saxatilis","Liliopsida"
"Poa paucispicula",NA
"Chrysocoris stollii","Insecta"
"Zephyranthes candida","Liliopsida"
"Thorelliola ensifera","Arachnida"
"Brachyplatys vahlii","Insecta"
"Rhus javanica","Magnoliopsida"
"Phoca largha","Mammalia"
"Sclerodoris coriacea",NA
"Liocichla steerii","Aves"
"Architectonica laevigata",NA
"Alpinia shimadae","Liliopsida"
"Ancema blanka","Insecta"
"Heterophasia auricularis","Aves"
"Siphopteron dumbo",NA
"Trachypithecus vetulus","Mammalia"
"Pipturus arborescens","Magnoliopsida"
"Grus japonensis","Aves"
"Xyleutes persona","Insecta"
"Samia wangi","Insecta"
"Loepa sikkima","Insecta"
"Zama nigrigemma","Insecta"
"Actias ningpoana","Insecta"
"Pusa hispida","Mammalia"
"Menida disjecta","Insecta"
"Potentilla amurensis",NA
"Centipeda minima","Magnoliopsida"
"Carex ericetorum","Liliopsida"
"Petasites spurius","Magnoliopsida"
"Gyromitra gigas","Pezizomycetes"
"Onychargia atrocyana","Insecta"
"Acanthosaura armata","Reptilia"
"Orthomorphella pekuensis","Diplopoda"
"Sufflamen fraenatum","Actinopterygii"
"Panulirus versicolor","Malacostraca"
"Phyllidiopsis phiphiensis",NA
"Hexasepalum teres","Magnoliopsida"
"Clerodendrum kaempferi","Magnoliopsida"
"Ficus caulocarpa","Magnoliopsida"
"Antidesma japonicum","Magnoliopsida"
"Ctenoplusia agnata","Insecta"
"Callopistria exotica","Insecta"
"Ophiusa trapezium","Insecta"
"Mecodina bisignata","Insecta"
"Hendecasis hampsoni","Insecta"
"Netria viridescens","Insecta"
"Argyreia nervosa","Magnoliopsida"
"Silene palaestina","Magnoliopsida"
"Ideopsis gaura","Insecta"
"Urapteroides astheniata","Insecta"
"Odontodes pallidifimbria",NA
"Serratula coronata","Magnoliopsida"
"Feliniopsis margarita","Insecta"
"Caesalpinia vernalis","Magnoliopsida"
"Cassida crucifera","Insecta"
"Diplospora dubia","Magnoliopsida"
"Millettia nitida","Magnoliopsida"
"Sabia swinhoei","Magnoliopsida"
"Bathycoelia indica",NA
"Ericeia inangulata","Insecta"
"Chenopodium formosanum","Magnoliopsida"
"Amaranthus spinosus","Magnoliopsida"
"Scutellera amethystina","Insecta"
"Evonima aperta",NA
"Scabiosa ochroleuca","Magnoliopsida"
"Tupistra nutans",NA
"Poltys idae",NA
"Cosmophasis thalassina","Arachnida"
"Maesa perlaria","Magnoliopsida"
"Halcyon gularis","Aves"
"Pinus kesiya","Pinopsida"
"Ficus minahassae","Magnoliopsida"
"Parupeneus indicus","Actinopterygii"
"Phyllidiella zeylanica","Gastropoda"
"Astroboa nuda",NA
"Scolopsis ghanam","Actinopterygii"
"Coris variegata","Actinopterygii"
"Pomacentrus sulfureus","Actinopterygii"
"Rhinoclavis fasciata","Gastropoda"
"Amblyglyphidodon indicus","Actinopterygii"
"Thalassoma rueppellii","Actinopterygii"
"Lethrinus mahsena","Actinopterygii"
"Cheilinus abudjubbe","Actinopterygii"
"Chazara heydenreichi",NA
"Campanula stevenii","Magnoliopsida"
"Celtis tetrandra","Magnoliopsida"
"Coriomeris denticulatus","Insecta"
"Tubocapsicum anomalum","Magnoliopsida"
"Brunia sarawaca",NA
"Holocraspedon bilineata",NA
"Dolomedes mizhoanus","Arachnida"
"Altica birmanensis","Insecta"
"Coelophora biplagiata","Insecta"
"Campsosternus auratus","Insecta"
"Xyleutes strix","Insecta"
"Urochela quadrinotata","Insecta"
"Eoophyla sejunctalis","Insecta"
"Nephilengys malabarensis","Arachnida"
"Argiope aetherea","Arachnida"
"Tridentiger bifasciatus","Actinopterygii"
"Aegista mackensii","Gastropoda"
"Asiophrida spectabilis",NA
"Mallotus repandus","Magnoliopsida"
"Pyrops oculatus","Insecta"
"Spatalia sikkima",NA
"Camellia hongkongensis","Magnoliopsida"
"Imatidium thoracicum","Insecta"
"Hemerophila felis",NA
"Mahanarva cruxminor","Insecta"
"Corcia columbica","Insecta"
"Catamenia analis","Aves"
"Tarphonomus certhioides","Aves"
"Stigmatura budytoides","Aves"
"Agelaia melanopyga",NA
"Hemiceras pallidula",NA
"Macara argentea",NA
"Ephoria lybia",NA
"Quesada gigas","Insecta"
"Nisoniades macarius","Insecta"
"Callonetta leucophrys","Aves"
"Eurolophosaurus nanuzae",NA
"Nicolaea cupa","Insecta"
"Diaethria eluina","Insecta"
"Peralia vittata",NA
"Tachyeres pteneres","Aves"
"Rubus geoides","Magnoliopsida"
"Hordeum comosum","Liliopsida"
"Epilobium australe",NA
"Camptosema ellipticum",NA
"Peixotoa goiana","Magnoliopsida"
"Pombalia communis","Magnoliopsida"
"Phanus australis",NA
"Apiophora paulseni","Insecta"
"Psidium grandifolium",NA
"Ouratea nervosa",NA
"Amasonia hirta",NA
"Viola montagnei",NA
"Marmessulus brasilianus",NA
"Microdaiphron implicitus",NA
"Pleuroploca princeps","Gastropoda"
"Sphenorhina rhodopepla","Insecta"
