"user.login","Blattodea","Coleoptera","Dermaptera","Diptera","Ephemeroptera","Hemiptera","Hymenoptera","Lepidoptera","Mantodea","Mecoptera","Megaloptera","Neuroptera","Odonata","Orthoptera","Phasmida","Zygentoma"
"_____ae",0.00343642611683849,0.0481099656357388,0,0.0584192439862543,0,0.0309278350515464,0.0584192439862543,0.302405498281787,0,0,0.0103092783505155,0,0.487972508591065,0,0,0
"a_monter",0,0.0833333333333333,0,0.0416666666666667,0,0.0416666666666667,0.125,0.666666666666667,0,0,0,0,0,0.0416666666666667,0,0
"a24",0,0.0100744634253176,0,0.0017520805957074,0,0.011826544021025,0.00306614104248795,0.95970214629873,0.000876040297853701,0,0.00131406044678055,0.0026281208935611,0.00394218134034166,0.00394218134034166,0.000876040297853701,0
"aacocucci",0,0.144578313253012,0,0.036144578313253,0,0.0963855421686747,0.132530120481928,0.409638554216867,0,0,0,0,0.0963855421686747,0.072289156626506,0.0120481927710843,0
"aalbertrebergen",0,0.0139740967961827,0,0.00477164280845262,0,0.00477164280845262,0.00238582140422631,0.96319018404908,0.000340831629175187,0,0,0.00715746421267894,0,0.00102249488752556,0.00238582140422631,0
"aaohler",0.00216450216450216,0.164502164502165,0.00432900432900433,0.0476190476190476,0,0.153679653679654,0.162337662337662,0.318181818181818,0.0216450216450216,0,0,0,0.0346320346320346,0.0844155844155844,0.00649350649350649,0
"aarmesto",0,0.217391304347826,0,0,0,0.173913043478261,0,0.478260869565217,0,0,0,0,0,0.130434782608696,0,0
"aaron_brees",0,0.11864406779661,0,0.0338983050847458,0,0.0593220338983051,0.313559322033898,0.440677966101695,0.00847457627118644,0,0,0.00847457627118644,0.0169491525423729,0,0,0
"abeck365",0,0.160919540229885,0.00574712643678161,0.0804597701149425,0,0.0862068965517241,0.0459770114942529,0.419540229885057,0.00574712643678161,0,0,0,0.17816091954023,0.0172413793103448,0,0
"abertomic",0,0.176470588235294,0,0,0,0.0392156862745098,0.196078431372549,0.117647058823529,0,0,0,0,0.313725490196078,0.137254901960784,0.0196078431372549,0
"abigail95",0,0.244444444444444,0.0222222222222222,0.0222222222222222,0,0.155555555555556,0.288888888888889,0.133333333333333,0,0,0,0,0.0444444444444444,0.0666666666666667,0,0.0222222222222222
"abr",0,0.0677966101694915,0,0.0169491525423729,0,0.0338983050847458,0.0169491525423729,0.830508474576271,0,0,0,0,0.0338983050847458,0,0,0
"accipiter56",0.0238095238095238,0.0714285714285714,0,0.0238095238095238,0,0.0476190476190476,0.142857142857143,0.428571428571429,0,0,0,0,0.238095238095238,0.0238095238095238,0,0
"acorncap",0,0.227272727272727,0,0.147727272727273,0,0.0568181818181818,0.113636363636364,0.329545454545455,0.0227272727272727,0,0,0,0.0113636363636364,0.0909090909090909,0,0
"adair",0,0.0806451612903226,0,0.0806451612903226,0,0.225806451612903,0.0967741935483871,0.403225806451613,0.032258064516129,0,0,0,0,0.0806451612903226,0,0
"adambryant",0,0.170731707317073,0,0,0,0.146341463414634,0.0975609756097561,0.390243902439024,0.024390243902439,0,0,0,0.121951219512195,0.0487804878048781,0,0
"adamxxp",0.0465116279069767,0.186046511627907,0.0232558139534884,0.0232558139534884,0,0.0232558139534884,0.0697674418604651,0.441860465116279,0,0,0.0232558139534884,0,0.0697674418604651,0.0697674418604651,0.0232558139534884,0
"adit",0.00666666666666667,0.0866666666666667,0,0.0266666666666667,0,0.0733333333333333,0.0266666666666667,0.686666666666667,0,0,0,0,0.0933333333333333,0,0,0
"adriananelly",0.0147783251231527,0.083743842364532,0,0.0197044334975369,0,0.0689655172413793,0.113300492610837,0.54679802955665,0.00492610837438424,0,0.00492610837438424,0,0.0640394088669951,0.0788177339901478,0,0
"adrinou",0.003690036900369,0.180811808118081,0,0.0885608856088561,0.003690036900369,0.177121771217712,0.114391143911439,0.33210332103321,0.014760147601476,0.00738007380073801,0,0.003690036900369,0.033210332103321,0.040590405904059,0,0
