Address,Number to Delete
https://caterpillarscount.unc.edu/images/arthropods/62748.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/62813.jpeg,-3
https://caterpillarscount.unc.edu/images/arthropods/64104.jpeg,-4
https://caterpillarscount.unc.edu/images/arthropods/7716.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/42492.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/63558.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/64796.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/43302.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/43702.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/43721.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/43752.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/56058.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/62199.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/63206.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/63966.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/64749.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/65489.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/65533.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/65719.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/65726.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/66094.jpeg,-3
https://caterpillarscount.unc.edu/images/arthropods/66954.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/66960.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/66980.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/67001.jpeg,-4
https://caterpillarscount.unc.edu/images/arthropods/67053.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/67388.jpeg,-3
https://caterpillarscount.unc.edu/images/arthropods/68198.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/68236.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/68298.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/71258.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/71324.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/71327.jpeg,-4
https://caterpillarscount.unc.edu/images/arthropods/71499.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/72034.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/72036.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/72051.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/72057.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/72077.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/72272.jpeg,-3
https://caterpillarscount.unc.edu/images/arthropods/72341.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/72377.jpeg,-4
https://caterpillarscount.unc.edu/images/arthropods/72387.jpeg,-3
https://caterpillarscount.unc.edu/images/arthropods/72396.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/72470.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/43504.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/43505.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/43510.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/43511.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/43533.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/43534.jpeg,-2
https://caterpillarscount.unc.edu/images/arthropods/43598.jpeg,-7
https://caterpillarscount.unc.edu/images/arthropods/43599.jpeg,-7
https://caterpillarscount.unc.edu/images/arthropods/43600.jpeg,-7
